time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-27 00:00:00+00:00,6,5,12,7
2023-08-28 00:00:00+00:00,10,9,29,5
2023-08-29 00:00:00+00:00,7,6,58,11
2023-08-30 00:00:00+00:00,5,4,13,9
2023-08-31 00:00:00+00:00,7,5,6,3
2023-09-01 00:00:00+00:00,8,7,9,4
2023-09-02 00:00:00+00:00,5,4,3,1
2023-09-03 00:00:00+00:00,6,5,6,1
2023-09-04 00:00:00+00:00,7,6,8,6
2023-09-05 00:00:00+00:00,5,4,6,5
2023-09-06 00:00:00+00:00,7,6,23,9
2023-09-07 00:00:00+00:00,8,6,14,8
2023-09-08 00:00:00+00:00,5,4,12,7
2023-09-09 00:00:00+00:00,6,5,1,1
2023-09-10 00:00:00+00:00,5,4,13,5
2023-09-11 00:00:00+00:00,7,6,12,4
2023-09-12 00:00:00+00:00,6,5,6,6
2023-09-13 00:00:00+00:00,9,5,38,11
2023-09-14 00:00:00+00:00,10,7,4,4
2023-09-15 00:00:00+00:00,7,6,28,9
2023-09-16 00:00:00+00:00,7,6,0,0
2023-09-17 00:00:00+00:00,6,5,0,0
2023-09-18 00:00:00+00:00,6,5,65,8
2023-09-19 00:00:00+00:00,8,5,7,4
2023-09-20 00:00:00+00:00,8,7,5,5
2023-09-21 00:00:00+00:00,7,6,16,6
2023-09-22 00:00:00+00:00,5,4,8,7
2023-09-23 00:00:00+00:00,22,6,0,0
2023-09-24 00:00:00+00:00,5,4,5,4
2023-09-25 00:00:00+00:00,6,5,17,9
2023-09-26 00:00:00+00:00,5,4,8,6
2023-09-27 00:00:00+00:00,6,5,14,7
2023-09-28 00:00:00+00:00,5,4,12,9
2023-09-29 00:00:00+00:00,10,5,6,4
2023-09-30 00:00:00+00:00,5,4,4,2
2023-10-01 00:00:00+00:00,6,5,10,6
2023-10-02 00:00:00+00:00,5,4,41,13
2023-10-03 00:00:00+00:00,6,5,31,8
2023-10-04 00:00:00+00:00,5,4,16,10
2023-10-05 00:00:00+00:00,5,4,12,10
2023-10-06 00:00:00+00:00,20,7,12,8
2023-10-07 00:00:00+00:00,6,5,1,1
2023-10-08 00:00:00+00:00,5,4,4,4
2023-10-09 00:00:00+00:00,7,6,16,5
2023-10-10 00:00:00+00:00,9,7,5,3
2023-10-11 00:00:00+00:00,5,4,10,6
2023-10-12 00:00:00+00:00,6,5,34,9
2023-10-13 00:00:00+00:00,5,4,6,4
2023-10-14 00:00:00+00:00,24,7,9,1
2023-10-15 00:00:00+00:00,6,5,18,5
2023-10-16 00:00:00+00:00,9,7,29,11
2023-10-17 00:00:00+00:00,17,12,109,8
2023-10-18 00:00:00+00:00,6,6,21,10
2023-10-19 00:00:00+00:00,23,18,246,30
2023-10-20 00:00:00+00:00,5,5,275,136
2023-10-21 00:00:00+00:00,5,5,69,31
2023-10-22 00:00:00+00:00,4,4,49,31
2023-10-23 00:00:00+00:00,8,8,66,22
2023-10-24 00:00:00+00:00,4,4,11,10
2023-10-25 00:00:00+00:00,4,4,20,13
2023-10-26 00:00:00+00:00,3,3,5,5
2023-10-27 00:00:00+00:00,4,4,12,10
2023-10-28 00:00:00+00:00,5,5,1,1
2023-10-29 00:00:00+00:00,4,4,4,3
2023-10-30 00:00:00+00:00,5,5,19,12
2023-10-31 00:00:00+00:00,5,5,6,5
2023-11-01 00:00:00+00:00,4,4,9,7
2023-11-02 00:00:00+00:00,5,5,8,8
2023-11-03 00:00:00+00:00,8,7,13,9
2023-11-04 00:00:00+00:00,6,6,2,2
2023-11-05 00:00:00+00:00,4,4,3,1
2023-11-06 00:00:00+00:00,4,4,17,14
2023-11-07 00:00:00+00:00,5,5,11,9
2023-11-08 00:00:00+00:00,5,5,3,2
2023-11-09 00:00:00+00:00,7,7,21,9
2023-11-10 00:00:00+00:00,10,10,11,6
2023-11-11 00:00:00+00:00,5,5,3,3
2023-11-12 00:00:00+00:00,5,5,0,0
2023-11-13 00:00:00+00:00,5,5,8,8
2023-11-14 00:00:00+00:00,9,9,27,7
2023-11-15 00:00:00+00:00,6,6,9,7
2023-11-16 00:00:00+00:00,5,5,7,7
2023-11-17 00:00:00+00:00,4,4,5,4
2023-11-18 00:00:00+00:00,5,5,2,2
2023-11-19 00:00:00+00:00,4,4,7,4
2023-11-20 00:00:00+00:00,6,6,26,9
2023-11-21 00:00:00+00:00,5,5,7,6
2023-11-22 00:00:00+00:00,4,4,10,7
2023-11-23 00:00:00+00:00,3,3,10,4
2023-11-24 00:00:00+00:00,4,4,44,11
2023-11-25 00:00:00+00:00,4,4,1,1
2023-11-26 00:00:00+00:00,4,4,5,5
2023-11-27 00:00:00+00:00,5,5,4,3
2023-11-28 00:00:00+00:00,3,3,11,10
2023-11-29 00:00:00+00:00,3,3,34,5
2023-11-30 00:00:00+00:00,1,1,4,4
